mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.09560854434967041,0.008870381128576098,0.010308599472045899,0.0020310945115583835,error,0.10093108517759788,5,7.57114114282094,binary:logistic,0.6747101093974845,"{'eval_metric': 'error', 'learning_rate': 0.10093108517759788, 'max_depth': 5, 'min_split_loss': 7.57114114282094, 'objective': 'binary:logistic', 'subsample': 0.6747101093974845}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
0.08254079818725586,0.0095943788610168,0.01000356674194336,0.0013315646821262135,error,0.2964476633691881,6,5.311246112845448,reg:logistic,0.29555453801864007,"{'eval_metric': 'error', 'learning_rate': 0.2964476633691881, 'max_depth': 6, 'min_split_loss': 5.311246112845448, 'objective': 'reg:logistic', 'subsample': 0.29555453801864007}",0.812,0.8,0.848,0.808,0.8,0.816,0.8273092369477911,0.7871485943775101,0.7831325301204819,0.8393574297188755,0.812094779116466,0.020123705038078973,1
0.0761946201324463,0.0032241690841931987,0.010350298881530762,0.003133073318333561,aucpr,0.2870697664625939,4,9.072124092110512,binary:logistic,0.3450893172502679,"{'eval_metric': 'aucpr', 'learning_rate': 0.2870697664625939, 'max_depth': 4, 'min_split_loss': 9.072124092110512, 'objective': 'binary:logistic', 'subsample': 0.3450893172502679}",0.812,0.8,0.848,0.8,0.792,0.808,0.8273092369477911,0.7871485943775101,0.7871485943775101,0.8353413654618473,0.8096947791164659,0.01990285498905963,3
0.07682435512542725,0.005471416974828417,0.0090803861618042,0.0008600402154992989,aucpr,0.17640643642174056,8,5.884619149740584,binary:logistic,0.16654584231179959,"{'eval_metric': 'aucpr', 'learning_rate': 0.17640643642174056, 'max_depth': 8, 'min_split_loss': 5.884619149740584, 'objective': 'binary:logistic', 'subsample': 0.16654584231179959}",0.784,0.8,0.84,0.78,0.792,0.808,0.8152610441767069,0.7630522088353414,0.7550200803212851,0.8273092369477911,0.7964642570281124,0.025741040294930472,7
0.10156347751617431,0.004941599132805943,0.010028314590454102,0.0016128801110368782,aucpr,0.20184933612111225,7,3.217775184588978,binary:logistic,0.3363433451321055,"{'eval_metric': 'aucpr', 'learning_rate': 0.20184933612111225, 'max_depth': 7, 'min_split_loss': 3.217775184588978, 'objective': 'binary:logistic', 'subsample': 0.3363433451321055}",0.816,0.8,0.84,0.776,0.796,0.816,0.8313253012048193,0.7871485943775101,0.7710843373493976,0.8353413654618473,0.8068899598393575,0.023368451629062047,4
0.07365171909332276,0.0070180980978777835,0.008615517616271972,0.0012798887435975308,aucpr,0.2869448361763138,4,6.595209120762059,reg:squarederror,0.8763624314384121,"{'eval_metric': 'aucpr', 'learning_rate': 0.2869448361763138, 'max_depth': 4, 'min_split_loss': 6.595209120762059, 'objective': 'reg:squarederror', 'subsample': 0.8763624314384121}",0.812,0.8,0.824,0.792,0.792,0.808,0.8273092369477911,0.7871485943775101,0.7871485943775101,0.8353413654618473,0.8064947791164659,0.01677886238875918,5
0.0799635648727417,0.006501680980418056,0.00885469913482666,0.0018903864813076905,error,0.10203716469717479,6,2.5736648413325893,reg:squarederror,0.926232389429909,"{'eval_metric': 'error', 'learning_rate': 0.10203716469717479, 'max_depth': 6, 'min_split_loss': 2.5736648413325893, 'objective': 'reg:squarederror', 'subsample': 0.926232389429909}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
0.07842965126037597,0.004715233229257588,0.008853578567504882,0.0010705319975248078,error,0.24360109963034665,3,9.770363196265885,reg:logistic,0.698499844716313,"{'eval_metric': 'error', 'learning_rate': 0.24360109963034665, 'max_depth': 3, 'min_split_loss': 9.770363196265885, 'objective': 'reg:logistic', 'subsample': 0.698499844716313}",0.812,0.8,0.856,0.792,0.792,0.808,0.8273092369477911,0.7871485943775101,0.751004016064257,0.8353413654618473,0.8060803212851406,0.027681886739126846,6
0.08083555698394776,0.004638711244595364,0.009879517555236816,0.00121147365431639,error,0.2840385269215102,6,3.078161289577568,binary:logistic,0.029157002122998543,"{'eval_metric': 'error', 'learning_rate': 0.2840385269215102, 'max_depth': 6, 'min_split_loss': 3.078161289577568, 'objective': 'binary:logistic', 'subsample': 0.029157002122998543}",0.804,0.8,0.832,0.796,0.8,0.808,0.8433734939759037,0.7911646586345381,0.8032128514056225,0.8353413654618473,0.8113092369477913,0.017491910587959243,2
0.08273615837097167,0.004717774934041642,0.0077400684356689455,0.0024491378564725215,error,0.12440633881500188,5,5.6778291363400015,reg:logistic,0.5340427982918902,"{'eval_metric': 'error', 'learning_rate': 0.12440633881500188, 'max_depth': 5, 'min_split_loss': 5.6778291363400015, 'objective': 'reg:logistic', 'subsample': 0.5340427982918902}",0.756,0.792,0.772,0.728,0.788,0.78,0.8032128514056225,0.7630522088353414,0.7550200803212851,0.8032128514056225,0.7740497991967871,0.02277465270270746,8
