mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.13823578357696534,0.018576482598159572,0.01394040584564209,0.00139889818789728,error,0.25462276803369555,8,1.3354158340774458,reg:logistic,0.05075358130441532,"{'eval_metric': 'error', 'learning_rate': 0.25462276803369555, 'max_depth': 8, 'min_split_loss': 1.3354158340774458, 'objective': 'reg:logistic', 'subsample': 0.05075358130441532}",0.812,0.8,0.844,0.792,0.796,0.812,0.8353413654618473,0.7831325301204819,0.7911646586345381,0.8393574297188755,0.8104995983935744,0.02088582897493248,2
0.10376458168029785,0.011670181480033669,0.013925671577453613,0.003723113255856163,error,0.07097103036202375,5,9.408080965200629,reg:logistic,0.1977849767442219,"{'eval_metric': 'error', 'learning_rate': 0.07097103036202375, 'max_depth': 5, 'min_split_loss': 9.408080965200629, 'objective': 'reg:logistic', 'subsample': 0.1977849767442219}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
0.11353001594543458,0.008874161438086097,0.013664031028747558,0.004642836842190857,aucpr,0.13828268533697977,8,5.1319916255778955,binary:logistic,0.5872152284803768,"{'eval_metric': 'aucpr', 'learning_rate': 0.13828268533697977, 'max_depth': 8, 'min_split_loss': 5.1319916255778955, 'objective': 'binary:logistic', 'subsample': 0.5872152284803768}",0.784,0.792,0.82,0.764,0.8,0.796,0.8112449799196787,0.7630522088353414,0.751004016064257,0.8192771084337349,0.7900578313253013,0.023037653997699362,6
0.0799673080444336,0.008979424683330035,0.01366274356842041,0.006995228125912366,error,0.2420492207990722,3,8.731814679279156,reg:squarederror,0.10775172548770295,"{'eval_metric': 'error', 'learning_rate': 0.2420492207990722, 'max_depth': 3, 'min_split_loss': 8.731814679279156, 'objective': 'reg:squarederror', 'subsample': 0.10775172548770295}",0.812,0.8,0.848,0.8,0.8,0.808,0.8514056224899599,0.7911646586345381,0.8112449799196787,0.8393574297188755,0.8161172690763052,0.02076148959808631,1
0.1579282522201538,0.03422020049166265,0.026326251029968262,0.015523056705121241,aucpr,0.018065182423896965,6,6.492452688883658,binary:logistic,0.9157457170153785,"{'eval_metric': 'aucpr', 'learning_rate': 0.018065182423896965, 'max_depth': 6, 'min_split_loss': 6.492452688883658, 'objective': 'binary:logistic', 'subsample': 0.9157457170153785}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
0.14495062828063965,0.02090152055501405,0.02483229637145996,0.01653103832611498,aucpr,0.2828587576425216,4,9.362481111571897,reg:logistic,0.6775682653251042,"{'eval_metric': 'aucpr', 'learning_rate': 0.2828587576425216, 'max_depth': 4, 'min_split_loss': 9.362481111571897, 'objective': 'reg:logistic', 'subsample': 0.6775682653251042}",0.812,0.8,0.848,0.792,0.792,0.808,0.8273092369477911,0.7871485943775101,0.7871485943775101,0.8353413654618473,0.808894779116466,0.02043025411740836,4
0.1113882064819336,0.020201148808054584,0.01571545600891113,0.007294930190608711,error,0.048325287606617195,3,5.648790303826883,binary:logistic,0.07350001864587363,"{'eval_metric': 'error', 'learning_rate': 0.048325287606617195, 'max_depth': 3, 'min_split_loss': 5.648790303826883, 'objective': 'binary:logistic', 'subsample': 0.07350001864587363}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,8
0.10968997478485107,0.018935338905024704,0.013194918632507324,0.003668490918540181,aucpr,0.2537311880604952,9,8.454740808119562,binary:logistic,0.8643087373550835,"{'eval_metric': 'aucpr', 'learning_rate': 0.2537311880604952, 'max_depth': 9, 'min_split_loss': 8.454740808119562, 'objective': 'binary:logistic', 'subsample': 0.8643087373550835}",0.812,0.8,0.856,0.792,0.792,0.808,0.8273092369477911,0.7871485943775101,0.7469879518072289,0.8353413654618473,0.8056787148594378,0.028495200281620968,5
0.10397956371307374,0.014086636067332686,0.010375094413757325,0.001212695346202042,error,0.09788028428257699,3,2.594884463683742,binary:logistic,0.6558127490540212,"{'eval_metric': 'error', 'learning_rate': 0.09788028428257699, 'max_depth': 3, 'min_split_loss': 2.594884463683742, 'objective': 'binary:logistic', 'subsample': 0.6558127490540212}",0.752,0.772,0.772,0.728,0.756,0.76,0.7710843373493976,0.7108433734939759,0.7429718875502008,0.7911646586345381,0.7556064257028112,0.022359324842868417,7
0.08504233360290528,0.005277926977671459,0.010425591468811035,0.0013732719107547343,aucpr,0.28395977834566916,4,8.68492444363563,reg:logistic,0.7031828030972356,"{'eval_metric': 'aucpr', 'learning_rate': 0.28395977834566916, 'max_depth': 4, 'min_split_loss': 8.68492444363563, 'objective': 'reg:logistic', 'subsample': 0.7031828030972356}",0.808,0.8,0.856,0.8,0.792,0.808,0.8273092369477911,0.7911646586345381,0.7831325301204819,0.8353413654618473,0.8100947791164659,0.021601702892264752,3
