mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_solver,param_penalty,param_C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.0035463968912760415,0.0036768069386281903,0.005097786585489909,0.002417946970603703,liblinear,l2,0.1,"{'solver': 'liblinear', 'penalty': 'l2', 'C': 0.1}",0.8185096153846154,0.7872596153846154,0.8040865384615384,0.8032852564102564,0.012770334495600342,5
0.01569477717081706,0.0032265364178271612,0.0029273033142089844,0.004139832048134055,newton-cg,l2,100,"{'solver': 'newton-cg', 'penalty': 'l2', 'C': 100}",0.8185096153846154,0.8040865384615384,0.8112980769230769,0.811298076923077,0.0058881964970749715,1
0.007579406102498372,0.005400175975762772,0.00026075045267740887,0.0003687568265713155,saga,l2,1.0,"{'solver': 'saga', 'penalty': 'l2', 'C': 1.0}",0.8185096153846154,0.8004807692307693,0.8125,0.8104967948717948,0.007495307265172151,4
0.0004276434580485026,0.0006047791782323221,0.0,0.0,lbfgs,elasticnet,10,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 10}",,,,,,7
0.009762207667032877,0.0015381393542458848,0.0012819766998291016,0.0018129888355446176,lbfgs,none,0.1,"{'solver': 'lbfgs', 'penalty': 'none', 'C': 0.1}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.008883078893025717,0.0024313756679229673,0.0035081704457600913,0.0018911130180957402,sag,none,10,"{'solver': 'sag', 'penalty': 'none', 'C': 10}",0.8185096153846154,0.8028846153846154,0.8112980769230769,0.8108974358974358,0.006385167247800169,2
0.015615224838256836,0.002292995449363981,0.0,0.0,lbfgs,l2,0.1,"{'solver': 'lbfgs', 'penalty': 'l2', 'C': 0.1}",0.8137019230769231,0.7884615384615384,0.8064903846153846,0.8028846153846154,0.010615097195105611,6
0.0007061163584391276,0.000998599330718116,0.0,0.0,lbfgs,elasticnet,100,"{'solver': 'lbfgs', 'penalty': 'elasticnet', 'C': 100}",,,,,,7
0.0,0.0,0.0,0.0,sag,l1,100,"{'solver': 'sag', 'penalty': 'l1', 'C': 100}",,,,,,7
0.0031044483184814453,0.003602676352800038,0.0,0.0,sag,elasticnet,1.0,"{'solver': 'sag', 'penalty': 'elasticnet', 'C': 1.0}",,,,,,7
