mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eval_metric,param_learning_rate,param_max_depth,param_min_split_loss,param_objective,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.09379880428314209,0.006628257760678883,0.010062003135681152,0.0013498504940362315,error,0.2760656090507247,8,5.494156297620774,binary:logistic,0.6841654067003923,"{'eval_metric': 'error', 'learning_rate': 0.2760656090507247, 'max_depth': 8, 'min_split_loss': 5.494156297620774, 'objective': 'binary:logistic', 'subsample': 0.6841654067003923}",0.808,0.8,0.848,0.796,0.792,0.808,0.8273092369477911,0.7911646586345381,0.7831325301204819,0.8353413654618473,0.808894779116466,0.020194579414417064,3
0.20101184844970704,0.00913893614050496,0.011988687515258788,0.0029908761091847987,aucpr,0.2399293522823528,7,0.8603158680662404,binary:logistic,0.9463263200590902,"{'eval_metric': 'aucpr', 'learning_rate': 0.2399293522823528, 'max_depth': 7, 'min_split_loss': 0.8603158680662404, 'objective': 'binary:logistic', 'subsample': 0.9463263200590902}",0.768,0.8,0.84,0.784,0.804,0.804,0.8313253012048193,0.7831325301204819,0.7751004016064257,0.8433734939759037,0.8032931726907631,0.025633154608507052,7
0.0922394037246704,0.010497316324728674,0.010471510887145995,0.0009594528135301302,aucpr,0.18789566145488104,5,2.8505428242969746,reg:logistic,0.09922908970816402,"{'eval_metric': 'aucpr', 'learning_rate': 0.18789566145488104, 'max_depth': 5, 'min_split_loss': 2.8505428242969746, 'objective': 'reg:logistic', 'subsample': 0.09922908970816402}",0.816,0.8,0.848,0.78,0.792,0.812,0.8273092369477911,0.7871485943775101,0.7831325301204819,0.8393574297188755,0.8084947791164658,0.02278345702693424,4
0.1587477445602417,0.013098781115229115,0.01138148307800293,0.0018777934205458065,error,0.2914692705321082,6,0.45311185928547326,binary:logistic,0.37119843034389244,"{'eval_metric': 'error', 'learning_rate': 0.2914692705321082, 'max_depth': 6, 'min_split_loss': 0.45311185928547326, 'objective': 'binary:logistic', 'subsample': 0.37119843034389244}",0.808,0.808,0.836,0.8,0.796,0.82,0.8353413654618473,0.7951807228915663,0.7670682730923695,0.8393574297188755,0.8104947791164658,0.021550729845452164,2
0.1359926700592041,0.010094254297828755,0.011538815498352051,0.003413746067946123,aucpr,0.27251603876333713,5,1.0865568900953426,binary:logistic,0.6420941091017959,"{'eval_metric': 'aucpr', 'learning_rate': 0.27251603876333713, 'max_depth': 5, 'min_split_loss': 1.0865568900953426, 'objective': 'binary:logistic', 'subsample': 0.6420941091017959}",0.804,0.808,0.844,0.792,0.8,0.816,0.8393574297188755,0.7951807228915663,0.7791164658634538,0.8393574297188755,0.8117012048192771,0.021270119970996558,1
0.1732783317565918,0.005948435778587652,0.011640715599060058,0.0013220187456216346,error,0.19228055552724838,9,2.0406529426830455,binary:logistic,0.7053622070069845,"{'eval_metric': 'error', 'learning_rate': 0.19228055552724838, 'max_depth': 9, 'min_split_loss': 2.0406529426830455, 'objective': 'binary:logistic', 'subsample': 0.7053622070069845}",0.796,0.808,0.84,0.788,0.796,0.816,0.8152610441767069,0.7871485943775101,0.7670682730923695,0.8433734939759037,0.805685140562249,0.0226640871876817,5
0.08701021671295166,0.007270667826419871,0.010808801651000977,0.001992953618517096,error,0.17786908756043204,8,7.4569928730238,reg:squarederror,0.6774646523072027,"{'eval_metric': 'error', 'learning_rate': 0.17786908756043204, 'max_depth': 8, 'min_split_loss': 7.4569928730238, 'objective': 'reg:squarederror', 'subsample': 0.6774646523072027}",0.784,0.8,0.84,0.768,0.792,0.808,0.8192771084337349,0.7630522088353414,0.7550200803212851,0.8353413654618473,0.7964690763052208,0.028093197125178132,8
0.15304746627807617,0.008642282301632663,0.01288909912109375,0.003205570170422402,error,0.17690772769576965,9,2.2778512340870205,binary:logistic,0.44521588866685424,"{'eval_metric': 'error', 'learning_rate': 0.17690772769576965, 'max_depth': 9, 'min_split_loss': 2.2778512340870205, 'objective': 'binary:logistic', 'subsample': 0.44521588866685424}",0.788,0.804,0.84,0.784,0.8,0.812,0.8313253012048193,0.7710843373493976,0.7670682730923695,0.8393574297188755,0.8036835341365463,0.02544643730650729,6
0.09156622886657714,0.004154394638231078,0.011178708076477051,0.002194695323033877,aucpr,0.033174397168313774,7,7.821473945169027,binary:logistic,0.7927148148458153,"{'eval_metric': 'aucpr', 'learning_rate': 0.033174397168313774, 'max_depth': 7, 'min_split_loss': 7.821473945169027, 'objective': 'binary:logistic', 'subsample': 0.7927148148458153}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
0.11495850086212159,0.01029075077679582,0.009384894371032714,0.0028846053437326757,aucpr,0.06401169072128735,6,3.124696427723687,binary:logistic,0.49277187203280515,"{'eval_metric': 'aucpr', 'learning_rate': 0.06401169072128735, 'max_depth': 6, 'min_split_loss': 3.124696427723687, 'objective': 'binary:logistic', 'subsample': 0.49277187203280515}",0.532,0.532,0.532,0.532,0.532,0.532,0.5301204819277109,0.5301204819277109,0.5301204819277109,0.5341365461847389,0.5316497991967871,0.0011805163330508228,9
